	Unnamed: 0	sentiment	sentence
63	63	0	africell we love you so much but your internet speeds that r jumpy r soon making us also jumpy at some point the network z so poor within kla that there z zero download n upload rectify this 
64	64	0	africell what happened to yo network in rukungiri 
65	65	0	africell the network is displaying emergency 
76	76	0	africell st work on yo network reception in namugongo mbalwa bulindo n beyond oba we shld run around like the guy in the airtel advert 
109	109	0	africell good offer but its a struggle to use that data you bandwidth keeps flactuating between g and e and of the time its e which results in data wastage thus financial loss where can one in kampala area find consistent g speed of your network mutuyambe 
113	113	0	africell i want you people to take our money serious i bought your gb social bundles with ott but i cant upload a video on watsapp nor watch videos on instagram so leaving your bundles mweddeko 
115	115	0	africell my whatsapp connection is slow every slow photos and voice notes cant be delivered 
117	117	0	dear africell bout ur new i saw that shs goes for mbs but wen i put data it still shows mbs gt k whats that 
147	147	0	you niggas delayed alsodont even recall where i threw your sim card 
158	158	0	africell sheilahgashumba why am i blacklisted 
164	164	0	sheilahgashumba africell but africell cant work in rural areas my dia its only urban areas so talk to ur bosses 
169	169	0	sheilahgashumba africell your network is really poor 
186	186	0	africell your network in kyamakanda rukungiri is terrible jumping between edge and no network 
194	194	0	judodele africell which africell do you use this is what they offer me after assuring me mbu dont be cheated 
197	197	0	where is africell when you really need them am tired of all networks tomorrow am getting myself a brand new whatever blessings 
199	199	0	africell just stole my k airtime i cant believe this 
200	200	0	africell u jokers i was supposed to load ur useless weekend bundle now its midnight already fools just expressionless 
210	210	0	i got an africell sim last week after buying their g pack of gb at k hustling with customer care for an hr sijui internet settings a lady at their desk in acacia mall assured me the g is only along ggaba rd and nakasero i feel robbed 
218	218	0	africell guys your speeds are killing me right now can barely watch a p video without buffering 
227	227	0	africell explain this to me you tell us when we buy gb it expires at midnight imagine my surprise when i wake up and the gb i had on my phone to enjoy easter monday has expired 
228	228	0	africell you told us days and my gbs have expired yet i am just on the third day this is broad day robbery 
229	229	0	africell u guys are real definition of thuggery and fraudsters after lying to us that the dont be cheated bundle we subscribed on friday was to last days till monday april at hrs and boom u chop my data at amu r very fake r those days 
230	230	0	africell am yo new customer and i make week today on no only got complainwhy does yo data run so fast day data aint day data its like hrs data 
231	231	0	am i the only person whose africell dont be cheated data got expired before the days they indicated oba it was just a another fraud 
232	232	0	africell your bundles are expiring earlier than initially stated 
233	233	0	africell how will the data work when its expired 
234	234	0	wafular africell nyoko i bought data and never used it pout 
236	236	0	africell frostproug it didnt mine expired midnight yesterday 
264	264	0	africell sheilahgashumba can u please remove the minutes coz its useless for us 
272	272	0	airtel hi airtel ive my simple concerns first your data runs too fast looks like a new way to milk more dont be surprised with many of such comments how is g better than g havent observed any difference from that upgrade thank you 
273	273	0	africell but my sim card is not working where can i come am in town 
274	274	0	africell dont know what just happened to my line its safe its not on the network sob 
275	275	0	africell why disconnect my number now 
313	313	0	africell what costs does it take to extend the connection to the whole of mpigi just moved there recently buh am about to start being cheated i dont want to be cheated 
314	314	0	africell no voice no network whole thing shows emergence 
348	348	0	africell africel we like ur offers but we have ur simcards but no network signal first arrange ur network signal every ugandan corner 
394	394	0	africell ritahntaori network in mukono is so bad and it slows down interent speed i complained about it several times but hardly got a solution 
