id	sentence	label
1094475876681555968	i hope airtel doesnt start this nonsense 	None
1094502294052356096	airtel thank you stan airtel 	None
1094533949920108545	airtel i was promised hrs at most to have my problem resolved hrs later nothing yet i have had to purchase another bundle any update 	Negative
1094572053137641472	airtel g connectivity has been intermittent in kyaliwajala amp surrounding areas do help thanks 	None
1094625163528802304	airtel if theres ever a competition for the worst customer service ever you guys deserve a golden crown ive had an issue with you since october its now feb and i just get empty promises 	None
1094625800656224256	matter of fact you all ignore me till i involve your hr managers and then you call me with new sets of promises airtel and now you have blocked my number no one is able to reach me but i can make calls and its not even an issue of the phone 	None
1094626479613317120	because ive alternated with two new phones today and its the same story airtel youve also blocked my alternate number seriously yall better get yourselves together like what fuckery is this gosh 	None
1094627725472612359	airtel i bought voice bundle using twice yesterday on airtel money my credit are reduced but i did not receive my package up to now yours ian k 	None
1094655671822438400	airtel poor network at lukuli rd this is the capital city for crying out loud who do we need to know for us to access quality and fast internet that we pay for 	Negative
1094655784401686528	airtel amp dstv now app are not compatible even with a g connection the app still buffers 	Negative
1094657743321997314	airtel really we have to start this conversation again poor internet connection check my previous communication with you someone is sleeping on their job 	Negative
1094659163865710596	airtel data stress free these weekends 	Positive
1094675476386320384	me buys airtel freaky friday bundle internet speed 	Positive
1094695285169754113	airtel thank you for the poor network connectivity littered all over uganda especially the western region unamused next 	None
1094860803499585537	airtel please thanks for the g network pray its really so fast in everything cant wait downloading all playlists every single day at affordable prices thanks so much 	None
1094883071520923648	im trying to cope up with airtel horrible speedi was extremely tired of mtn robbery 	Negative
1094883353428406273	airtel i thought airtel service centers were serious why would u charge k for upgrading a line when your competitors are even giving out free upgraded g lines behave 	None
1094884793806999554	airtel it is so slowmy social media notifications come after minutes of constant refreshing 	None
1094891921535848448	dviola airtel lol an airtel manager just dmd methings are not good and all airtel top mgt know it but have instructed everyone to keep quiet they are looking for a buyer this is going the orange way 	None
1094907765431123969	airtel thy requested me to pay k for upgrading then k for resetting my mm pin of which i called u and u told me to go to the service center its not much money but i dont allow to be cheated i lose nothing leaving the network as long as i can get somewhere else behave your workers 	None
1094908928209629184	airtel hello im getting an edge network that keeps going off and on whats up 	None
1094914817654222848	airtel should i be silent on the fact that after hrs you charged my account and never activated my bundle countless promises yet you have held your end of the bargain ps check my dm before you ask me to share my phone number 	Negative
1094916585301643264	airtel its hrs this is more than a delay 	None
1094948635903692800	airtel ok but karamoja is too vast and large where i am it requires too much movement to reach airtel outlet but i will try 	None
1094964453114822656	naye airtel you need to put an option of buying months quarterly data using our phones directly because calling customer is tiresome 	None
1094994970988236801	airtel i recently upgraded my simcard to g but i didnt get the gb of data thinking 	Negative
1095018392791195649	airtel why does your internet have to be this ridiculously slow and inconsistent attaching simple files is such a hustle why 	Negative
1095030893171875840	airtel help me understand this based on the text below that youve sent me is my business supposed to wait until tomorrow before my issue gets solved dont you think that if i could wait i wouldnt have raised it now mdairtelug help us as your customers get sorted out 	None
1095071034871607301	airtel mulinga amatako how can you tell me i have used of the data i bought at pm by pm am not staying for this robbery am getting back to africell soonlemme replace my simcard mscheew 	Negative
1095222670327721984	airtel your mobile app keeps misbehaving starting yesterday it keeps complaining of lack of an internet connection even when one is available and all other apps are working 	None
1095224359491420160	dear airtel it is really frustrating to see ones data reduce without actually using it and on calling customer care you are helped by a rude respondent why is it hard to get our data usage records where should we take our loyalty 	Negative
1095236992558944256	airtel good morning i replaced my line last two weeks back from your kampala road service center but up to its not working only response is emergency calls only but i contacted the customer care on saturday but up to now the problem is not rectified number is 	None
1095261158628605953	good afternoon airtel day and my numbers are still blocked without clear explanation kindly advise on how long im going to be inconvenienced 	None
1095267091362516992	tweepoftheyear airtel is practically selling gb at ugx from friday to sunday thats pretty cheap if you ask me 	Positive
1095273538263498752	airtel how do i remove voicemail because its hindering me from making phone calls 	None
1095278404486737920	does internet access have to be limited to certain days we know all about loss leader policy airtel reduce the price of one commodity to attract people who then also buy yo other products that doesnt say data is cheap in uganda you are not a genius 	Negative
1095299355987316736	thanks alot airtel but i also need your help my airtel simcard is not being detected in both slots of my phone and i dont know what the problem might be i hope you can help 	None
1095316532601737216	airtel techno l the networkk is fine elsewhere when i access it using the same device 	None
1095401543212457985	airtel wats wrong with ure data network in kulambiro past one month the network has been terrible 	Negative
1095538372435734528	airtel in kenya you dont need to go through the hustle of visiting the service provider office to upgrade your sim card you simply use a ussd code 	None
1095557109549359104	how much data is in airtel s gb sleepy 	Negative
1095566055655784448	your home town is now covered with airtel g network how cool is that 	None
1095567431681130498	with new developments the telecom currently boasts of having sites and over kilometres of fibre across uganda covering population making it possible for subscribers to enjoy an improved experience in internet based activities airtel 	Positive
1095567675194073089	airtel u are not ashamed of charging money to an already working line for upgrading it imagine k here for what u are only money minded wink 	None
1095571769778470912	airtel thank you for having g network across the country i just ask that you can make the network consistent and stable in my village of kiwenda guluddene i have lost working hours this week alone since sunday due to instability of the network 	None
1095573298317008897	well what airtel is trying to do is by far the best any network has offered accessable internet to everyone not just that but g accessable internet way to go 	Positive
1095574529001377792	the airtel g lte to cover the whole of uganda first telecom to achieve that from the 	Positive
1095577746623922177	airtel even k is not much but the issue is cheating and not respecting someone then know nankulabye pin reset is k and upgrading is kfor god and my country maybe u dont pay them and thy are finding their way out 	None
1095581477310484480	allandarren airtel thats is good achievement but internet network is very poor and too slow 	Negative
1095587330335883264	airtel thx airtel u add meaning to my internet experience cheap yet incomparably reliable thx 	Positive
1095590316315414529	nbstv airtel it still has poor network around kampalavery poor in some parts of kampala 	None
1095590727780888576	our g smartphone network is not only limited to kampala whether in the north west or eastern uganda airtel has you covered with the fastest and reliable service mdairtelug 	None
1095591994439725056	josephowino airtel in in every district town council theres a lot of poor internet speed along the roads as you move a cross the country 	Negative
1095593459048763393	airtel i have honestly failed to use airtel internet its more of a snail than g 	Negative
1095594253026316288	pyeparfaisal airtel very slow and poor network 	None
1095605919692537856	airtel announces the availability of countrywide g lte connectivity following complete modernization of their network with sites and over kilometers of fiber across uganda covering population to enjoy an improved experience in internet based activities 	Positive
1095606173896712192	airtel i was in mbale yesterday its even on g joy not even let me go and have coffee 	None
1095608440557355011	airtel i did upgradebut its taking forever its more than hrs now 	None
1095615096217354240	the growth of any industry is largely dependent on its ability to be at the forefront of innovation today airtel is undeniably leading the call to digitalise uganda 	None
1095615098197082112	with sites amp over kilometres of fiber across uganda covering of the population airtel has achieved g lte connectivity across the nation making it possible for subscribers around the country to enjoy an improved experience in internet based activities 	Positive
1095617759365550080	airtel just announced that theyve achieved nationwide g connectivity airtel customers will now access across the corners of ug besides the great news you just have to love the tv ad they have launched with it for this airtel makes todays 	None
1095626296288268293	airtel airtel is good but at times your service annoy me for instance when i try wewole you give only hundred yet i use airtel every day and i can spend every day so chech on your services 	None
1095631979377238016	airtel get away of reducing data freezing whereby you have to restart the phone for one to begin surfing after subscribing a data bundle 	Negative
1095648183068385281	airtel i upgraded my simcard last friday but i havent received my gb of data 	None
1095655027484573697	airtel has announced a major milestone in launching countrywide glte coverage in the country this morning airtel uganda subscribers will get to enjoy highspeed internet regardless of their location 	None
1095661255086522368	airtel correct at least in my world great job 	None
1095670778849316864	airtel enjoying the g already 	None
1095673158353461249	airtel yet i have very poor internet at home and im in kla 	None
1095678623636434945	nbstv airtel please go to a place called bighanga in buhweju district there is no network only at one particular point 	None
1095685475401117697	airtel thanks but try to up your network here in kapchorwa because its really bad 	None
1095686333996126208	airtel your internet network g has been acting up could this be the reason as you raced to you eroded quality 	None
1095688395005804546	airtel no network in ayuu anaka lamwo district so we dont know about it 	None
1095690871843049472	satisfied airtel this some dope tvc fire 	None
1095691425679896576	nasasiraarnold airtel how absurd that i dont have airtel signal just around twins in mutungo so i cant dream of g 	None
1095692565309992961	nbstv airtel this is a lie just here in buziga we have network issues 	None
1095693900336033793	airtel in my village found in ngora your network is very poor i cant make calls while am there for people in villages making phone calls is he most important thing kindly improve on that first then the party will begin 	Negative
1095694115352788992	nbstv airtel when network just around kampala is poor first upgrade uo g before convincing ue to do a good g period 	None
1095695480582008832	congrats airtel on ur g rollout ampfor embracing the new broadband policy that sets milestones for operators on quality of service obligationsinternet reliability with guaranteed good speeds will not only bring about affordability but also support our 	None
1095696296197926912	airtel inconsistences like in bweyogerere sometimes even calling is an issue 	Negative
1095699375832137728	airtel i have no valentines money but walayi i can not borrow from wewole joy 	None
1095700821801615361	airtel airtel u are a scamlied to us about getting gb after a g simcard upgrade 	None
1095707170455339009	airtel i get only bar of signal and i cant even make calls so internet is even hard to think about 	Negative
1095713939999084545	airtel wow and am in lorengedwat enjoying wow punch 	None
1095714193028857858	airtel well i was wondering when you were gon na turn up but then i remembered how slow youve always been 	None
1095721301392674816	airtel this ad is funny it has got a point joy i am now enjoying g internet connection 	None
1095729203780222976	airtel officially stealing our data legally grinning 	None
1095730610314887168	airtel i like the art in this ad 	None
1095730807300345857	airtel thank you for delivering on your promise g in kanungu as well blush 	None
1095736863321509888	icymi airtel has announced a major milestone in launching countrywide glte coverage in the country this morning airtel uganda subscribers will get to enjoy highspeed internet regardless of their location 	None
1095738738976661505	airtel uccofficial whereas we note that you have advised us the whole country is g covered kindly note that the network is very slow secondly having a clear call btn airtel to airtel is now a luxury and chance due to poor network please improve your signals 	None
1095739457742012417	airtel was that what was up with the g mifi network last night and some of today 	None
1095740485652623361	airtel does this improve the network because the network in areas of nsangi and maya is terriblemost especially maya 	None
1095743539147792384	airtel improve on your network services which of recent has become problematic 	None
1095747012841086977	airtel streaming made easy with your g 	None
1095748922549649408	nice advert airtel g network is finally a reality for all ugandans as a film maker i appreciate the art displayed 	None
1095753218947235840	from north to the east to the west to the south all around central g lte thank you airtel for making business possible across the nation 	None
1095759669178462209	airtel g internet is full of crap airtel 	None
1095765258583633920	airtel g but not every where your coverage is still poor just here at busega imagine 	None
1095765503228944384	airtel i resorted to mtn and the way your data get used up for real airtel sucks 	None
1095767856606789632	airtel so am i the only one whose airtel network has been acting up over the last couple of weeks like literally i load a gb and half of the time it is too slow and i have to wait for things to load choka nga g 	None
1095768453582073856	airtel its been awhile since we started on this journey at last we arrived airtel ug g thnk you 	None
1095779941751369738	airtel so i get upgraded to g and my videos start bufferingwhat kinda of nonsense is this 	None
1095783158761603073	if you arent on airtel then you are on some fake network and will experience disappointments 	None
1095789465157668866	airtel and in my area de network is g all de time hhhmm 	None
1095790102838722560	airtel bwana but the way my data is stolen mbs cant download a mb clip 	None
1095800307454480384	airtel lets talk about the stealing of data 	None
1095870329799483392	airtel airtel were cheating me so much i had to switch service providers i would load mbs and they would be gone before ive used even mg im sorry to say but you are theives airtel g doesnt matter theives 	None
1095876884297076736	airtel fix the network in makindye area its so poor 	None
1095895972570374144	airtel everywhere seem not around lake bunyonyi as tourist move around holding their devices up looking for better signalits our wish you consider projecting more reliable systems to property cover the areas especially the islands 	None
1095904659074703360	surprise gb amp mins at k valid for three days from airtel love it 	None
1095915234441814016	airtel ure slowly becoming my favourite keep t up 	None
1095919091133620224	airtel thanks airtel for the extensive coverage 	None
1095923295764078592	airtel extend more in villages we suffer when we visit those remote areas 	None
1095926693511000064	airtel recently i was in buhweju district but the network was up en dwn 	None
1095929380172431364	airtel uganda rolls out g internet countrywide 	Positive
1095930371886206976	with a predictable regulatory environment the possibilities are enormous talk about fastmobile webaccessip telephony gaming serviceshighdefinitionmobile tvvideo conferencing andd television sounds like progress congratulations airtel upon this milestone 	None
1095934861691576321	airtel are yu guys serious fuuucccckkkkkkkkk 	None
1095935305004339200	airtel this is awesome 	None
1095936015267758081	airtel how do i spend gb in hrs 	None
1095936103004229632	airtel why dont you say these things before we spend our money 	None
1095938097278341121	airtel i wish your internet was as good as this ad epic ad silly internet speeds 	None
1095944710093455360	airtel its funny that you introduce g when g is still poor in kampala and surrounding areas am not falling this unamused 	None
1095945950475022336	airtel dear airtel please go back to g since this announcement was made i can barely open a webpage will congratulate you when internet is back to normal speeds 	None
1095951269913604097	airtel thank you have saved from data expenditures on valentines i will never leave you 	None
1095957047198257153	airtel launched the availability of countrywide g lte connectivity boasts of sites and km of fibre covering populationvideo conferencing video calling video streaming gaming services and mobile internet access 	Positive
1095957475008933888	airtel this a lie parts of my house kisaasi have horrible network 	Negative
1095964678709301248	airtel bukedia district kidongole subcounty i will send you the gnet tracker code and you see for yourself if atall i will pick around kidongole primary school 	Negative
1095970223457484800	airtel could you please fix the app because it is not responding for weeks 	None
1095990755158646784	you have already used of your weekly gbgb is now only valid for days dial to buy now one of the most hated messages in uganda right now after baby am pregnant airtel data just runs like dios lol 	None
1096010957124452352	airtel kudos airtel ug wow very good content over here clap 	None
1096011866764124161	airtel but is it real because am in apac cant a access even g 	Negative
1096043096519950336	airtel u have made my valentine gb for a week cheeii joy raisedhands mandancing 	Positive
1096057311624339456	airtel u gat on me this one the advert is just on point fire 	Positive
1096059259144601600	airtel except fix the g in kalongo agago joy i have complained of slow internet for years 	None
1096063341938860032	airtel your have been soo good to me 	Positive
1096076106598416390	airtel actually im using itell a wen i put the simcard on my line the network bars are on and off bhu mostly they are off 	None
1096078265524125698	airtel ehhhhh does g mean mbs last for only minutes keycapten 	None
1096082411601879040	airtel lol no network rofl 	None
1096090766286483460	airtel this is great but are you sure about this lopeipei village on moroto doesnt even have network should i grab my camera and make a video about this to confirm 	None
1096090938215141376	airtel any requirements pliz coz am really unable to do anything with this g here now where i am 	None
1096097158447673345	airtel why would this twitter video buffer on g location total nakawa mdairtelug 	None
1096123167452659712	airtel the g network advert is so awesome 	Positive
1096130139933601792	airtel let one of your technicians visit ham shopping ground esp block s climb on first floor and try the so called g he will tell u the truth 	None
1096133232125530112	airtel u need to first make your data bundles user friendly 	None
1096137891627945985	airtel leave alone the g this ad is the best 	Positive
1096157084402487296	poor connection in naggalama mukono esp the internet this has been the case since nov airtel 	None
1096262733752926208	airtel sim card permanently blocked 	None
1096262958148128768	airtel when do u get airtel cell phone network to nampologoma trading center in butaleja district 	None
1096299566519992321	airtel visited your centre at kabalagala est that i already have a g card trouble is poor network coverage in mbalwanamugongo frowningface a speed test was done 	None
1096315553894092800	big applause to the airtel g marketing team its been a while since ive watched an ad thats both creative amp captivating 	Positive
1096321391337590784	nisha airtel this is a nice one 	Positive
1096336383906627584	duffshwanda airtel that karamoja ad is so amazing 	Positive
1096347659647049728	airtel data purchase using the app returns error javalongnullpointerexception kindly prob n revert well done 	None
1096355493306687489	airtel why is it that i cant get my data that ive paid for just subscribed for a bundle money was deducted though bundle not delivered for how long shall we stand this thuggery uccofficial 	None
1096365241137541121	airtel i already upgraded got informed by customer care that ull upload my gb in hrs however today is the th daywhats wrong 	None
1096376761846321152	airtel please please boost your signals in naalya every freaky friday we have to climb trees in order for network to be fast we are tired of buying gb and using up only mbs of it do something 	None
1096384570071629837	airtel this is a new occurrence im literally being charged for every single call i receive 	None
1096401169604374529	airtel sob tiredface when do you intended to have proper network 	None
1096402341996228608	airtel my airtel line is no longer active yet it has been in the use some help 	None
1096404283401142273	airtel hahaha your network still breaks even within the capital joy 	None
1096415539566645248	hey airtel am i losing my mind or was gb last week and now it is gb for the same price 	None
1096422443214872576	airtel this ad is super organic bravo 	Positive
1096436947944394752	nkalivanjimmie airtel if in agago district one can barely get airtel airtime how can you convince me that the network doesnt drop smirk i love the advert thou okhand 	None
1096446359039819776	so airtel you brought g to screw our internet stuff is slow afwe cant even watch a status on these streetsmwebellelemu 	None
1096492432026411009	airtel your network is disgusting 	None
1096524506322079744	airtel i exchanged my sim card for the g enabled airtel sim card at a cost but frankly there is no g in the new sim card 	None
1096590639825850369	kasaijaissac airtel too fake 	Negative
1096590639846834176	kasaijaissac airtel man those guys made me swap my line and didnt give me the gb and worse the network dropped bs just 	None
1096618047517982720	airtel thats great but we need a working customer care we need to talk to real people not instructions alone we have issues that are not in the information provided 	None
1096629430301138944	andsjeff like i said before who launches g network when the g in and around most areas in kampala goes e is trying to use their phone airtel we aint buying this 	None
1096640580099158017	airtel you promised to give me days its hardly the nd day and my bundle is over 	Negative
1096657140352196608	airtel how do you say everywhere when here in najjera i dont have network 	None
1096661618153455616	airtel its just one bar 	None
1096675446987653120	airtel i am trying to reach the helpline so i can speak to a human why does calling have to take me in circles giving me no option to speak to anybody 	None
1096701675992170496	pyeparfaisal airtel they should stop sending us messages reminding us to upgrade rolleyes were comfortable with g 	None
1096740168499978240	airtel but slow yet i swapped it for g almost years ago 	None
1096751381162139648	airtel you and your net is garbage 	None
1096751546438684673	airtel its garbage wtf speed and service 	Negative
1096759393100750848	airtel you also dont have g through out 	None
1096765580986773504	congratulations airtel walking with you all the way 	Positive
1096819851153285120	airtel your internet is so badinstead of sending us upgrade to g text messagescan you please try to fix your internet connectivity so that we can stop doubting our phones and locationsand actually utilize the data we buyfix this please thanks and warm regards 	None
1096821117472391168	airtel thanks for the its so good 	Positive
1096860915352436737	my phone is indicating g but downloading at kbs i knew this was a gimmick airtel 	None
1097009016029569024	airtel i reactivated my airtel line after almost a year of inactivity i had a mobile money balance of ugx to my dismay my cash was never refunded i raised my concern around nov without a reply 	None
1097020542060806145	konka airtel mwayanga okumpereza data wangye since last time of g upgrade tinkafunirehaza the patience is now in hospital please talk on this matter 	None
1097050887648931840	airtel my confession i bought a gb daily data last week but till date it hasnt expired pliz im fasting so i dont want to cheat a whole telcom co 	None
1097117235460665344	airtel for whatever reason my airtel internet has stopped working tried ur customer care help line they said they would send airtel settings and none of that worked i have tried the line in various devices same problem need help 	None
1097135781192351750	airtel its weeks nowi upgraded my simcard and you havent sent my gbplease do the needful before i tell bosco 	None
1097179972601630721	airtel i can not renew ott using airtel money since pm is there an existing problem and alternative 	None
1097375578674659328	airtel eliokure excuse youplease address the najeera network problems its so bad 	None
1097386423378984960	airtel where have u taken my shs this isnt the time each time i load airtime and delay subscribing a voice bundle some shillings go missing how u must stop this fuckery stop the fuckery 	None
1097387262797594624	papidanny airtel should first give you free data just wishing you a birthday isnt enough joy 	None
1097388976762224640	airtel am still waiting for my g gb data 	None
1097404608274681856	airtel dont recharge find other service provider this is garbage 	Negative
1097447970226798592	airtel you also reduce on the rate at which you consume our data bundles consumers are really not protected but cheated always tuli banyivu 	None
1097456362433536005	airtel u lied to us bout the gb for upgrading to g 	None
